disrupted_entity,disrupted_score,affected_retailers,backup_rank,backup_entity,backup_type,backup_score,composite_risk,out_volume,out_degree,efficiency
ABBOTT LABORATORIES,4,20,1,JANSSEN PHARMACEUTICALS INC,manufacturer,1.0,0.0,5712041,20,285602.0
ABBOTT LABORATORIES,4,20,2,HIKMA PHARMACEUTICALS,manufacturer,0.5588,0.0,2298572,20,114928.6
ABBOTT LABORATORIES,4,20,3,RHODES TECHNOLOGIES,manufacturer,0.5566,0.0,2281754,20,114087.7
MYLAN PHARMACEUTICALS INC,4,20,1,JANSSEN PHARMACEUTICALS INC,manufacturer,1.0,0.0,5712041,20,285602.0
MYLAN PHARMACEUTICALS INC,4,20,2,ABBOTT LABORATORIES,manufacturer,0.5703,0.0,2387811,20,119390.6
MYLAN PHARMACEUTICALS INC,4,20,3,HIKMA PHARMACEUTICALS,manufacturer,0.5588,0.0,2298572,20,114928.6
MIAMI-LUKEN INC,4,1147,1,CARDINAL HEALTH INC,distributor,0.5553,0.8652,2387970,1120,2132.1
MIAMI-LUKEN INC,4,1147,2,MCKESSON CORPORATION,distributor,0.5459,0.8788,2408149,1149,2095.9
MIAMI-LUKEN INC,4,1147,3,DAKOTA DRUG INC,distributor,0.5276,0.8719,2371348,1131,2096.7
MCKESSON CORPORATION,4,1149,1,MIAMI-LUKEN INC,distributor,0.5092,0.9815,4762842,1147,4152.4
MCKESSON CORPORATION,4,1149,2,CARDINAL HEALTH INC,distributor,0.157,0.8652,2387970,1120,2132.1
MCKESSON CORPORATION,4,1149,3,DAKOTA DRUG INC,distributor,0.149,0.8719,2371348,1131,2096.7
KINRAY LLC,4,1148,1,MIAMI-LUKEN INC,distributor,0.5092,0.9815,4762842,1147,4152.4
KINRAY LLC,4,1148,2,CARDINAL HEALTH INC,distributor,0.157,0.8652,2387970,1120,2132.1
KINRAY LLC,4,1148,3,MCKESSON CORPORATION,distributor,0.1494,0.8788,2408149,1149,2095.9
HENRY SCHEIN INC,4,1146,1,MIAMI-LUKEN INC,distributor,0.5092,0.9815,4762842,1147,4152.4
HENRY SCHEIN INC,4,1146,2,CARDINAL HEALTH INC,distributor,0.157,0.8652,2387970,1120,2132.1
HENRY SCHEIN INC,4,1146,3,MCKESSON CORPORATION,distributor,0.1494,0.8788,2408149,1149,2095.9
DAKOTA DRUG INC,4,1131,1,MIAMI-LUKEN INC,distributor,0.5092,0.9815,4762842,1147,4152.4
DAKOTA DRUG INC,4,1131,2,CARDINAL HEALTH INC,distributor,0.157,0.8652,2387970,1120,2132.1
DAKOTA DRUG INC,4,1131,3,MCKESSON CORPORATION,distributor,0.1494,0.8788,2408149,1149,2095.9
ACTAVIS PHARMA INC,4,20,1,JANSSEN PHARMACEUTICALS INC,manufacturer,1.0,0.0,5712041,20,285602.0
ACTAVIS PHARMA INC,4,20,2,ABBOTT LABORATORIES,manufacturer,0.5703,0.0,2387811,20,119390.6
ACTAVIS PHARMA INC,4,20,3,HIKMA PHARMACEUTICALS,manufacturer,0.5588,0.0,2298572,20,114928.6
WATSON LABORATORIES INC,4,20,1,JANSSEN PHARMACEUTICALS INC,manufacturer,1.0,0.0,5712041,20,285602.0
WATSON LABORATORIES INC,4,20,2,ABBOTT LABORATORIES,manufacturer,0.5703,0.0,2387811,20,119390.6
WATSON LABORATORIES INC,4,20,3,HIKMA PHARMACEUTICALS,manufacturer,0.5588,0.0,2298572,20,114928.6
PAR PHARMACEUTICAL INC,4,20,1,JANSSEN PHARMACEUTICALS INC,manufacturer,1.0,0.0,5712041,20,285602.0
PAR PHARMACEUTICAL INC,4,20,2,ABBOTT LABORATORIES,manufacturer,0.5703,0.0,2387811,20,119390.6
PAR PHARMACEUTICAL INC,4,20,3,HIKMA PHARMACEUTICALS,manufacturer,0.5588,0.0,2298572,20,114928.6
